aphiaidaccepted;scientificnameaccepted;trait;phylum;scientificnameauthorship
699619;Anathece clathrata;cyano;Cyanobacteria;(West & G.S.West) Kom·rek, Kastovsky & Jezberov·, 2011
1027944;Angulogavelinella gracilis;foram;Foraminifera;(Marsson, 1878)
8030;Anisonema;phy;Euglenozoa;Dujardin, 1841
110643;Anisonema prosgeobium;phy;Euglenozoa;Skuja, 1939
163489;Ankistrodesmus;phy;Chlorophyta;Corda, 1838
836894;Ankistrodinium semilunatum;phy;Myzozoa;(Herdman) Hoppenrath, Shauna Murray, Sparmann & Leander, 2012
572079;Ankyra;phy;Chlorophyta;Fott, 1957
112081;Anomalina;foram;Foraminifera;d'Orbigny, 1826
162244;Anorthoneis excentrica;phy;Ochrophyta;(Donkin) Grunow, 1870
248096;Apedinella;phytoplankton;Ochrophyta;Throndsen, 1971
248097;Apedinella radians;phytoplankton;Ochrophyta;(Lohmann) P.H.Campbell, 1973
160567;Aphanizomenon;cyano;Cyanobacteria;A.Morren ex Bornet & Flahault, 1888
146562;Aphanocapsa;cyano;Cyanobacteria;C.N‰geli, 1849
146647;Aphanocapsa holsatica;cyano;Cyanobacteria;(Lemmermann) G.Cronberg & Kom·rek, 1994
162673;Aphanocapsa reinboldii;cyano;Cyanobacteria;(Richter) Kom·rek & Anagnostidis, 1995
146715;Aphanothece;cyano;Cyanobacteria;C.N‰geli, 1849
624961;Aphanothece paralleliformis;cyano;Cyanobacteria;Cronberg, 2003
249704;Aphanothece parallelliformis;cyano;Cyanobacteria;Cronberg, 2003
1380043;Apocalathium malmogiense;phytoplankton;Myzozoa;(G.Sjˆstedt) Craveiro, Daugbjerg, Moestrup & Calado, 2016
604918;Archaeperidinium;phy;Myzozoa;Jˆrgensen, 1912
624607;Archaeperidinium minutum;phytoplankton;Myzozoa;(Kofoid) J¯rgensen, 1912
520854;Arenobulimina;foram;Foraminifera;Cushman, 1927
903467;Arenobulimina footei;foram;Foraminifera;Jennings, 1936
992428;Arenobulimina preslii;foram;Foraminifera;(Reuss, 1845)
1030694;Arenobulimina puschi;foram;Foraminifera;(Reuss, 1851)
145306;Arthrocladia villosa;not;Ochrophyta;(Hudson) Duby, 1830
145541;Ascophyllum nodosum;not;Ochrophyta;(Linnaeus) Le Jolis, 1863
553678;Ascophyllum nodosum f. mackayi;not;Ochrophyta;(Turner) A.C.Mathieson & Dawes, 2017
553675;Ascophyllum nodosum f. scorpioides;not;Ochrophyta;Hauck, 1883
292897;Askenasia;phy;Ciliophora;Blochmann, 1895
292898;Askenasia stellaris;phy;Ciliophora;Leegaard, 1920
145311;Asperococcus bullosus;not;Ochrophyta;J.V.Lamouroux, 1813
376395;Asperococcus ensiformis;not;Ochrophyta;(Delle Chiaje) M.J.Wynne, 2003
145313;Asperococcus fistulosus;not;Ochrophyta;(Hudson) W.J.Hooker, 1833
551526;Asperococcus fistulosus f. vermicularis;not;Ochrophyta;(Griffiths ex Harvey) Levring, 1937
145314;Asperococcus scaber;not;Ochrophyta;Kuckuck, 1899
112283;Astacolus;foram;Foraminifera;Montfort, 1808
734950;Astacolus compressus;foram;Foraminifera;(Stache, 1864)
734951;Astacolus cretaceus;foram;Foraminifera;(Cushman, 1937)
148953;Asterionella;phytoplankton;Ochrophyta;A.H. Hassall, 1850
163737;Asterionella bleakeleyi var. notata;phytoplankton;Ochrophyta;Grunow, 1867
148954;Asterionella formosa;phytoplankton;Ochrophyta;Hassall, 1850
176362;Asterionella frauenfeldii;phy;Ochrophyta;Grunow, 1863
148955;Asterionella glacialis;phytoplankton;Ochrophyta;Castracane, 1886
149220;Asterionella japonica;phytoplankton;Ochrophyta;Cleve, 1882
148956;Asterionella kariana;phytoplankton;Ochrophyta;Grunow, 1880
149138;Asterionellopsis;phytoplankton;Ochrophyta;F.E. Round in F.E. Round, R.M. Crawford & D.G. Mann, 1990
162254;Asteromphalus;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1844
112299;Astrorhiza;foram;Foraminifera;Sandahl, 1858
113840;Astrorhiza arenaria;foram;Foraminifera;Carpenter in Norman, 1877
113843;Astrorhiza limicola;foram;Foraminifera;Sandahl, 1858
632674;Ataxiodinium choanum;phy;Myzozoa;P.C.Reid, 1974
739130;Ataxophragmium;foram;Foraminifera;Reuss, 1860
1030695;Ataxophragmium rimosum;foram;Foraminifera;(Marsson, 1878)
160519;Attheya;phytoplankton;Ochrophyta;T. West, 1860
612103;Attheya arenicola;phytoplankton;Ochrophyta;C.Gardner & R.M.Crawford, 1994
160520;Attheya decora;phytoplankton;Ochrophyta;T.West, 1860
464444;Attheya longicornis;phytoplankton;Ochrophyta;R.M.Crawford & C.Gardner, 1994
162823;Attheya septentrionalis;phytoplankton;Ochrophyta;(ÿstrup) R.M.Crawford, 1994
149279;Aulacodiscus;phy;Ochrophyta;C.G. Ehrenberg, 1844
148959;Aulacoseira;phytoplankton;Ochrophyta;G.H.K. Thwaites, 1848
148961;Aulacoseira granulata;phytoplankton;Ochrophyta;(Ehrenberg) Simonsen, 1979
149281;Auliscus;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1843
391508;Azadinium;phy;Myzozoa;Elbr‰chter & Tillmann, 2009
837075;Azadinium caudatum;phytoplankton;Myzozoa;(Halldal) NÈzan & ChomÈrat, 2012
391509;Azadinium spinosum;phytoplankton;Myzozoa;Elbr‰chter & Tillmann, 2009
149148;Bacillaria;phytoplankton;Ochrophyta;J.F. Gmelin, 1788
149118;Bacteriastrum;phytoplankton;Ochrophyta;G. Shadbolt, 1854
164108;Bacteriastrum delicatulum;phytoplankton;Ochrophyta;Cleve, 1897
164110;Bacteriastrum furcatum;phytoplankton;Ochrophyta;Shadbolt, 1854
149119;Bacteriastrum hyalinum;phy;Ochrophyta;Lauder, 1864
1307640;Bacterosira constricta;phytoplankton;Ochrophyta;(Gaarder, 1938) J.S. Park & J.H. Lee, 2016
292899;Balanion;not;Ciliophora;Wulff, 1919
427290;Balanion comatum;not;Ciliophora;Wulff, 1922
1371463;Barrufeta resplendens;phy;Myzozoa;(Hulburt) H.Gu, Z.Luo & K.N.Mertens, 2015
112300;Bathysiphon;foram;Foraminifera;Sars, 1872
496797;Battersia mirabilis;phy;Ochrophyta;Reinke ex Batters, 1890
624205;Battersia plumigera;phy;Ochrophyta;(Holmes ex Hauck) Draisma, Prud'homme & H. Kawai, 2010
624206;Battersia racemosa;phy;Ochrophyta;(Greville) Draisma, Prud'homme & H.Kawai, 2010
149305;Bellerochea;phytoplankton;Ochrophyta;H. Van Heurck, 1885
447730;Bellerochea horologicalis;phytoplankton;Ochrophyta;Stosch, 1980
149306;Bellerochea malleus;phytoplankton;Ochrophyta;(Brightwell) Van Heurck, 1885
671777;Bellerochea malleus var. biangulata;phytoplankton;Ochrophyta;H.Peragallo & M.Peragallo, 1908
464448;Bellerochea polymorpha;phytoplankton;Ochrophyta;Hargraves & Guillard, 1974
156953;Berkeleya;phytoplankton;Ochrophyta;R.K. Greville, 1827
156955;Berkeleya rutilans;phy;Ochrophyta;(Trentepohl ex Roth) Grunow, 1880
103987;Bicosoeca;phytoplankton;Bigyra;H.J.Clark, 1868
103996;Bicosoeca gracilipes;phy;Bigyra;H.J.Clark, 1868
103998;Bicosoeca maris;phy;Bigyra;Picken, 1941
103999;Bicosoeca mediterranea;phy;Bigyra;Pavillard, 1916
104007;Bicosoeca tenuis;phy;Bigyra;Kent
105505;Bicosta;phy;Choanozoa;B.S.C.Leadbeater, 1978
105558;Bicosta spinifera;phy;Choanozoa;(Throndsen) Leadbeater, 1978
148967;Biddulphia;phytoplankton;Ochrophyta;S.F. Gray, 1821
149324;Biddulphia rhombus;phy;Ochrophyta;(Ehrenberg) W.Smith, 1854
149325;Biddulphia rhombus subsp. trigona;phy;Ochrophyta;Cleve ex Van Heurck, 1882
671778;Biddulphia rhombus var. trigona;phytoplankton;Ochrophyta;Cleve ex Van Heurck, 1882
148969;Biddulphia sinensis;phy;Ochrophyta;Greville, 1866
162953;Biddulphia subaequa;phytoplankton;Ochrophyta;(K¸tzing) J.Ralfs, 1861
465381;Biddulphia weissflogii;phytoplankton;Ochrophyta;Grunow, 1882
626298;Biecheleria halophila;phytoplankton;Myzozoa;(Biecheler) Moestrup, Lindberg & Daugbjerg, 2009
1380415;Biecheleria ordinata;phy;Myzozoa;(Skuja) Moestrup, 2018
915724;Biedafranciszkina polonica;foram;Foraminifera;Gawor-Biedowa, 1992
145503;Bifurcaria bifurcata;not;Ochrophyta;R.Ross, 1958
112301;Bigenerina;foram;Foraminifera;d'Orbigny, 1826
1046354;Bigenerina (Bigenerina) nodosaria;foram;Foraminifera;d'Orbigny, 1826
112014;Biloculinella;foram;Foraminifera;Wiesner, 1931
575737;Binuclearia lauterbornii;phy;Chlorophyta;(Schmidle) Proschkina-Lavrenko, 1966
418405;Biremis ambigua;phytoplankton;Ochrophyta;(Cleve) D.G.Mann, 1990
144478;Blastophysa rhizopus;not;Chlorophyta;Reinke, 1889
109548;Blepharocysta;phytoplankton;Myzozoa;Ehrenberg, 1873
110178;Blepharocysta paulsenii;phytoplankton;Myzozoa;J.Schiller, 1937
110179;Blepharocysta splendor-maris;phy;Myzozoa;(Ehrenberg) Ehrenberg, 1873
144293;Blidingia;not;Chlorophyta;Kylin, 1947
145948;Blidingia chadefaudii;not;Chlorophyta;(Feldmann) Bliding, 1963
145949;Blidingia marginata;not;Chlorophyta;(J.Agardh) P.J.L.Dangeard ex Bliding, 1963
145950;Blidingia minima;not;Chlorophyta;(N‰geli ex K¸tzing) Kylin, 1947
145952;Blidingia subsalsa;not;Chlorophyta;(Kjellman) Kornmann & Sahling ex Scagel et al., 1989
22557;Bodo;phy;Euglenozoa;Ehrenberg, 1832
144865;Bolbocoleon piliferum;not;Chlorophyta;N.Pringsheim, 1862
112101;Bolivina;foram;Foraminifera;d'Orbigny, 1839
926502;Bolivina decurrens;foram;Foraminifera;(Ehrenberg, 1854)
735315;Bolivina incrassata;foram;Foraminifera;Reuss, 1851
112982;Bolivina pseudoplicata;foram;Foraminifera;Heron-Allen & Earland, 1930
112990;Bolivina subaenariensis;foram;Foraminifera;Cushman, 1922
112998;Bolivina variabilis;foram;Foraminifera;(Williamson, 1858)
520855;Bolivinoides;foram;Foraminifera;Cushman, 1927
525522;Bolivinoides decorata;foram;Foraminifera;(Jones, 1886)
735343;Bolivinoides draco;foram;Foraminifera;(Marsson, 1878)
915149;Bolivinoides peterssoni;foram;Foraminifera;Brotzen, 1945
917177;Bolivinoides pustulata;foram;Foraminifera;Reiss, 1954
109523;Boreadinium;phytoplankton;Myzozoa;Dodge & Hermes, 1981
110067;Boreadinium pisiforme;phy;Myzozoa;J.D.Dodge & Hermes, 1981
503084;Borghiella tenuissima;phy;Myzozoa;(Lauterborn) Moestrup, Gert Hansen & Daugberg, 2008
248103;Botryococcus;phy;Chlorophyta;K¸tzing, 1849
145484;Botrytella micromora;not;Ochrophyta;Bory, 1822
145485;Botrytella reinboldii;not;Ochrophyta;(Reinke) Kornmann & Sahling, 1988
235849;Braarudosphaera;phytoplankton;Haptophyta;Deflandre, 1947
235922;Braarudosphaera bigelowii;phytoplankton;Haptophyta;(Gran & Braarud) Deflandre, 1947
345436;Brachiomonas;phy;Chlorophyta;Bohlin, 1897
345437;Brachiomonas submarina;phy;Chlorophyta;Bohlin, 1897
149136;Brockmanniella;phytoplankton;Ochrophyta;G.R. Hasle, H.A. von Stosch & E.E. Syvertsen, 1983
149137;Brockmanniella brockmannii;phytoplankton;Ochrophyta;(Hustedt) Hasle, Stosch & Syvertsen, 1983
144452;Bryopsis hypnoides;not;Chlorophyta;J.V.Lamouroux, 1809
144453;Bryopsis lyngbyei;not;Chlorophyta;Hornemann, 1818
144457;Bryopsis plumosa;not;Chlorophyta;(Hudson) C.Agardh, 1823
145315;Buffhamia speciosa;not;Ochrophyta;Batters, 1895
113030;Bulimina aculeata;foram;Foraminifera;d'Orbigny, 1826
113042;Bulimina marginata;foram;Foraminifera;d'Orbigny, 1826
113047;Bulimina striata;foram;Foraminifera;d'Orbigny in GuÈrin-MÈneville, 1832
466352;Bulimina truncana;foram;Foraminifera;G¸mbel, 1870
113747;Buliminella elegantissima;foram;Foraminifera;(d'Orbigny, 1839)
109532;Cachonina;phy;Myzozoa;Loeblich III, 1968
235923;Calcidiscus leptoporus;phy;Haptophyta;(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978
555889;Calciosolenia brasiliensis;phytoplankton;Haptophyta;(Lohmann) J.R.Young, 2003
105506;Calliacantha;not;Choanozoa;B.S.C.Leadbeater, 1978
105559;Calliacantha longicaudata;not;Choanozoa;(Leadbeater) Leadbeater, 1978
105561;Calliacantha natans;not;Choanozoa;(Gr¯ntved) Leadbeater, 1978
105562;Calliacantha simplex;not;Choanozoa;Manton & Oates, 1979
149488;Caloneis;phytoplankton;Ochrophyta;P.T. Cleve, 1894
178438;Calothrix pulvinata;cyano;Cyanobacteria;C.Agardh ex Bornet & Flahault, 1886
160548;Calycomonas;phy;Ochrophyta;Lohmann, 1908
345438;Calycomonas gracilis;phy;Ochrophyta;Lohmann, 1908
235828;Calyptrosphaera;phy;Haptophyta;Lohmann, 1902
149616;Campylodiscus;phytoplankton;Ochrophyta;C.G. Ehrenberg ex F.T. K¸tzing, 1844
156599;Campylodiscus fastuosus;phy;Ochrophyta;Ehrenberg, 1845
178050;Campylodiscus innominatus;phytoplankton;Ochrophyta;R.Ross & Abdin, 1949
178059;Campyloneis;phytoplankton;Ochrophyta;A. Grunow, 1862
149357;Campylosira cymbelliformis;phy;Ochrophyta;(A.Schmidt) Grunow ex Van Heurck, 1885
112098;Cancris;foram;Foraminifera;Montfort, 1808
582554;Cancris auricula;foram;Foraminifera;(Fichtel & Moll, 1798)
145935;Capsosiphon fulvescens;not;Chlorophyta;(C.Agardh) Setchell & N.L.Gardner, 1920
626342;Carinasigma rectum;phy;Ochrophyta;(Donkin) G.Reid, 2012
145910;Carpomitra costata;not;Ochrophyta;(Stackhouse) Batters, 1902
367250;Carteria;phy;Chlorophyta;Diesing, 1866
113075;Cassidulina crassa;foram;Foraminifera;d'Orbigny, 1839
113077;Cassidulina laevigata;foram;Foraminifera;d'Orbigny, 1826
163839;Catenula adhaerens;phy;Ochrophyta;(Mereschkowsky) Mereschkowsky, 1903
149236;Cerataulina;phytoplankton;Ochrophyta;H. Peragallo ex F. Sch¸tt in Engler & Prantl, 1896
961694;Cerataulina bergonii;phytoplankton;Ochrophyta;Ostenfeld, 1903
149619;Cerataulina pelagica;phytoplankton;Ochrophyta;(Cleve) Hendey, 1937
1322477;Cerataulus granulata;phytoplankton;Ochrophyta;(Roper) P.A. Sims & D.M. Williams, 2018
178126;Cerataulus radiatus;phytoplankton;Ochrophyta;R.Ross, 1986
149329;Cerataulus smithii;phytoplankton;Ochrophyta;Ralfs ex Pritchard, 1861
628227;Cerataulus turgidus;phytoplankton;Ochrophyta;Ehrenberg
109506;Ceratium;phytoplankton;Myzozoa;F.Schrank, 1793
156509;Ceratium arcticum;phytoplankton;Myzozoa;(Ehrenberg) Cleve, 1901
109932;Ceratium breve;phy;Myzozoa;(Ostenfeld & Schmidt) Schrˆder, 1906
109947;Ceratium extensum;phytoplankton;Myzozoa;(Gourret) Cleve-Euler, 1900
109953;Ceratium gibberum;phytoplankton;Myzozoa;Gourret, 1883
109955;Ceratium hexacanthum;phy;Myzozoa;Gourret, 1883
156511;Ceratium hirundinella;phytoplankton;Myzozoa;(O.F.M¸ller) Dujardin, 1841
109963;Ceratium lineatum;phy;Myzozoa;(Ehrenberg) Cleve, 1899
196823;Ceratium petersii;phy;Myzozoa;Steemann Nielsen, 1934
196824;Ceratium platycorne;phytoplankton;Myzozoa;Daday, 1888
109507;Ceratocorys;phy;Myzozoa;Stein, 1883
163932;Ceratoneis closterium;phy;Ochrophyta;Ehrenberg, 1839
172535;Ceratoneis fasciola;phytoplankton;Ochrophyta;Ehrenberg, 1839
163938;Ceratoneis gracilis;phytoplankton;Ochrophyta;BrÈbisson ex K¸tzing, 1849
577493;Cercomonas;phy;Euglenozoa;Dujardin, 1841
148985;Chaetoceros;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1844
370366;Chaetoceros (Hyalochaete);phytoplankton;Ochrophyta;NA
370367;Chaetoceros (Phaeoceros);phytoplankton;Ochrophyta;Gran
149241;Chaetoceros affinis;phytoplankton;Ochrophyta;Lauder, 1864
149292;Chaetoceros anastomosans;phytoplankton;Ochrophyta;Grunow, 1882
961745;Chaetoceros anglicus;phy;Ochrophyta;Grunow in Van Heurck, 1882
149299;Chaetoceros armatus;phytoplankton;Ochrophyta;T.West, 1860
149288;Chaetoceros atlanticus;phytoplankton;Ochrophyta;Cleve, 1873
149124;Chaetoceros borealis;phytoplankton;Ochrophyta;Bailey, 1854
149291;Chaetoceros brevis;phytoplankton;Ochrophyta;F.Sch¸tt, 1895
980583;Chaetoceros bulbosum;phytoplankton;Ochrophyta;NA
341473;Chaetoceros castracanei;phytoplankton;Ochrophyta;Karsten, 1905
149297;Chaetoceros ceratosporus;phytoplankton;Ochrophyta;Ostenfeld, 1910
163018;Chaetoceros ceratosporus var. brachysetus;phytoplankton;Ochrophyta;Rines & Hargraves, 1986
163016;Chaetoceros ceratosporus var. ceratosporus;phytoplankton;Ochrophyta;Ostenfeld, 1910
149622;Chaetoceros cinctus;phytoplankton;Ochrophyta;Gran, 1897
163019;Chaetoceros circinalis;phytoplankton;Ochrophyta;(Meunier) K.G. Jensen & Moestrup, 1998
149129;Chaetoceros compressus;phytoplankton;Ochrophyta;Lauder, 1864
156607;Chaetoceros concavicornis;phytoplankton;Ochrophyta;Mangin, 1917
156609;Chaetoceros constrictus;phytoplankton;Ochrophyta;Gran, 1897
149623;Chaetoceros contortus;phytoplankton;Ochrophyta;Sch¸tt, 1895
156611;Chaetoceros convolutus;phytoplankton;Ochrophyta;Castracane, 1886
163026;Chaetoceros coronatus;phytoplankton;Ochrophyta;Gran, 1897
149289;Chaetoceros costatus;phytoplankton;Ochrophyta;Pavillard, 1911
149171;Chaetoceros crinitus;phytoplankton;Ochrophyta;F.Sch¸tt, 1895
149221;Chaetoceros curvisetus;phytoplankton;Ochrophyta;Cleve, 1889
149120;Chaetoceros danicus;phytoplankton;Ochrophyta;Cleve, 1889
149219;Chaetoceros debilis;phytoplankton;Ochrophyta;Cleve, 1894
149126;Chaetoceros decipiens;phytoplankton;Ochrophyta;Cleve, 1873
149121;Chaetoceros densus;phytoplankton;Ochrophyta;(Cleve) Cleve, 1899
178215;Chaetoceros dichaeta;phytoplankton;Ochrophyta;Ehrenberg, 1844
149122;Chaetoceros didymus;phy;Ochrophyta;Ehrenberg, 1845
163048;Chaetoceros didymus var. didymus;phy;Ochrophyta;Ehrenberg, 1845
